category,module,link
fourth year,70001,http://www.imperial.ac.uk/computing/current-students/courses/70001
fourth year,70004,https://www.imperial.ac.uk/computing/current-students/courses/70004/
fourth year,70005,https://www.imperial.ac.uk/computing/current-students/courses/70005
fourth year,70006,https://www.imperial.ac.uk/computing/current-students/courses/70006
fourth year,70007,https://www.imperial.ac.uk/computing/current-students/courses/70007
fourth year,70008,https://www.imperial.ac.uk/computing/current-students/courses/70008
fourth year,70009,https://www.imperial.ac.uk/computing/current-students/courses/70009
fourth year,70010,https://www.imperial.ac.uk/computing/current-students/courses/70010
fourth year,70015,https://www.imperial.ac.uk/computing/current-students/courses/70015/
fourth year,70016,https://www.imperial.ac.uk/computing/current-students/courses/70016
fourth year,70017,https://www.imperial.ac.uk/computing/current-students/courses/70017
fourth year,70018,https://www.imperial.ac.uk/computing/current-students/courses/70018
fourth year,70019,https://www.imperial.ac.uk/computing/current-students/courses/70019
fourth year,70020,https://www.imperial.ac.uk/computing/current-students/courses/70020
fourth year,70022,https://www.imperial.ac.uk/computing/current-students/courses/70022
fourth year,70023,https://www.imperial.ac.uk/computing/current-students/courses/70023
fourth year,70024,https://www.imperial.ac.uk/computing/current-students/courses/70024
fourth year,70025,https://www.imperial.ac.uk/computing/current-students/courses/70025
fourth year,70028,https://www.imperial.ac.uk/computing/current-students/courses/70028
fourth year,70030,https://www.imperial.ac.uk/computing/current-students/courses/70030
fourth year,70031,https://www.imperial.ac.uk/computing/current-students/courses/70031
fourth year,70066,https://www.imperial.ac.uk/computing/current-students/courses/70066
fourth year,70067,https://www.imperial.ac.uk/computing/current-students/courses/70067
fourth year,70068,https://www.imperial.ac.uk/computing/current-students/courses/70068
